name,icon,keywords,categories/0,categories/1,url,categories/2
AC Nutritionis,../assets/images/hosting/acnutritionis.webp,AC Nutritionis - Nutrición - Nutricion - Nutrition - Eating disorders - Obesity,all,services,https://acnutritionis.com,
IgnisusLand,../assets/images/hosting/ignisusland.webp,IgnisusLand - Minecraft - Mods - Survival - Creative - Plugins - Java,all,games,/minecraft,
D'Plata,../assets/images/hosting/dplata.svg,D'Plata - DPlata - Jewelry - Fashion - Accessories,all,jewelry,https://dplata.ignisus.org/,
MangoBet,../assets/images/hosting/mangobet.webp,MangoBet - Casino - Game - Online,all,games,https://github.com/mangobet,+18
